Fecha / hora,Cliente,Nº  venta,Importe,Forma de pago,Revisada,Crédito,Estatus venta,V. no facturable
01/09/2023 12:46 PM,PUBLICO EN GENERAL,355332,130.00,Tarjeta de Debito,0,0,Venta generada,
01/09/2023 12:46 PM,PUBLICO EN GENERAL,355333,100.00,Efectivo,0,0,Venta generada,
01/09/2023 12:49 PM,PUBLICO EN GENERAL,355331,480.29,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 12:51 PM,PUBLICO EN GENERAL,355335,200.00,Efectivo,0,0,Venta generada,
01/09/2023 12:53 PM,PUBLICO EN GENERAL,355336,132.60,Efectivo,0,0,Venta generada,
01/09/2023 12:59 PM,PUBLICO EN GENERAL,355337,300.00,Efectivo,0,0,Venta generada,
01/09/2023 01:06 PM,PUBLICO EN GENERAL,355346,100.00,Efectivo,0,0,Venta generada,
01/09/2023 01:08 PM,PUBLICO EN GENERAL,355340,100.00,Efectivo,0,0,Venta generada,
01/09/2023 01:09 PM,COPPEL,355338,500.00,Efectivo,0,0,Facturada,
01/09/2023 01:09 PM,PUBLICO EN GENERAL,355339,300.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 01:10 PM,PUBLICO EN GENERAL,355341,200.00,Efectivo,0,0,Venta generada,
01/09/2023 01:11 PM,PUBLICO EN GENERAL,355342,500.00,Efectivo,0,0,Venta generada,
01/09/2023 01:12 PM,PUBLICO EN GENERAL,355345,110.50,Efectivo,0,0,Venta generada,
01/09/2023 01:15 PM,PUBLICO EN GENERAL,355343,200.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 01:17 PM,PUBLICO EN GENERAL,355347,50.00,Efectivo,0,0,Venta generada,
01/09/2023 01:17 PM,AGTRAC,355344,"1,220.14",Tarjeta de Debito,0,0,Facturada,
01/09/2023 01:18 PM,PUBLICO EN GENERAL,355350,500.00,Efectivo,0,0,Venta generada,
01/09/2023 01:19 PM,PUBLICO EN GENERAL,355349,500.00,Efectivo,0,0,Venta generada,
01/09/2023 01:19 PM,PUBLICO EN GENERAL,355348,200.00,Efectivo,0,0,Venta generada,
01/09/2023 01:23 PM,PUBLICO EN GENERAL,355352,300.00,Efectivo,0,0,Venta generada,
01/09/2023 01:25 PM,PUBLICO EN GENERAL,355356,442.00,Efectivo,0,0,Venta generada,
01/09/2023 01:29 PM,PUBLICO EN GENERAL,355351,442.00,Efectivo,0,0,Venta generada,
01/09/2023 01:30 PM,PUBLICO EN GENERAL,355355,50.00,Efectivo,0,0,Venta generada,
01/09/2023 01:36 PM,PUBLICO EN GENERAL,355358,"1,231.72",Efectivo,0,0,Venta generada,
01/09/2023 01:37 PM,PUBLICO EN GENERAL,355353,50.00,Efectivo,0,0,Venta generada,
01/09/2023 01:38 PM,PUBLICO EN GENERAL,355363,100.00,Efectivo,0,0,Venta generada,
01/09/2023 01:38 PM,PUBLICO EN GENERAL,355354,100.00,Efectivo,0,0,Venta generada,
01/09/2023 01:40 PM,PUBLICO EN GENERAL,355357,50.00,Efectivo,0,0,Venta generada,
01/09/2023 01:43 PM,PUBLICO EN GENERAL,355369,150.00,Efectivo,0,0,Venta generada,
01/09/2023 01:48 PM,PUBLICO EN GENERAL,355360,200.00,Efectivo,0,0,Venta generada,
01/09/2023 01:58 PM,PUBLICO EN GENERAL,355359,725.70,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 02:03 PM,PUBLICO EN GENERAL,355361,200.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 02:03 PM,PUBLICO EN GENERAL,355364,339.99,Efectivo,0,0,Venta generada,
01/09/2023 02:04 PM,PUBLICO EN GENERAL,355362,200.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 02:05 PM,PUBLICO EN GENERAL,355370,200.00,Efectivo,0,0,Venta generada,
01/09/2023 02:07 PM,PUBLICO EN GENERAL,355365,200.00,Efectivo,0,0,Venta generada,
01/09/2023 02:09 PM,PUBLICO EN GENERAL,355368,110.50,Efectivo,0,0,Venta generada,
01/09/2023 02:10 PM,PUBLICO EN GENERAL,355366,200.00,Efectivo,0,0,Venta generada,
01/09/2023 02:12 PM,PUBLICO EN GENERAL,355371,500.00,Efectivo,0,0,Venta generada,
01/09/2023 02:13 PM,PUBLICO EN GENERAL,355367,40.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 02:14 PM,PUBLICO EN GENERAL,355378,70.00,Efectivo,0,0,Venta generada,
